"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19, 2021","37.46","37.32","37.74","37.22","48.96M","-0.74%"
"Aug 18, 2021","37.74","38.01","38.33","37.72","39.55M","-1.23%"
"Aug 17, 2021","38.21","38.22","38.49","37.84","52.41M","-0.70%"
"Aug 16, 2021","38.48","38.33","38.51","38.00","48.01M","-0.26%"
"Aug 13, 2021","38.58","38.90","38.95","38.49","43.08M","-0.75%"
"Aug 12, 2021","38.87","38.85","38.92","38.60","44.61M","0.18%"
"Aug 11, 2021","38.80","38.46","38.80","38.29","48.37M","1.15%"
"Aug 10, 2021","38.36","37.93","38.46","37.90","40.91M","1.05%"
"Aug 09, 2021","37.96","37.84","38.13","37.61","48.02M","0.26%"
"Aug 08, 2021","37.86","37.86","37.86","37.86","-","0.00%"
"Aug 07, 2021","37.86","37.86","37.86","37.86","-","0.00%"
"Aug 06, 2021","37.86","37.49","37.93","37.46","58.08M","2.02%"
"Aug 05, 2021","37.11","36.87","37.11","36.87","37.17M","1.31%"
"Aug 04, 2021","36.63","36.60","37.01","36.51","52.35M","-0.84%"
"Aug 03, 2021","36.94","36.64","36.98","36.13","42.17M","1.12%"
"Aug 02, 2021","36.53","36.73","37.18","36.49","47.59M","0.03%"
"Jul 30, 2021","36.52","36.71","36.98","36.43","52.39M","-0.79%"
"Jul 29, 2021","36.81","36.69","36.97","36.50","41.43M","1.10%"
"Jul 28, 2021","36.41","36.56","36.64","36.16","42.91M","-0.14%"
"Jul 27, 2021","36.46","36.16","36.62","36.02","38.99M","-0.03%"
"Jul 26, 2021","36.47","36.21","36.54","36.21","25.40M","0.58%"
"Jul 23, 2021","36.26","36.55","36.65","36.16","36.77M","0.17%"
"Jul 22, 2021","36.20","36.47","36.56","36.05","35.29M","-1.09%"
"Jul 21, 2021","36.60","36.27","36.78","36.24","59.98M","1.72%"
"Jul 20, 2021","35.98","35.07","36.22","35.00","70.64M","2.48%"
"Jul 19, 2021","35.11","35.42","35.61","34.90","89.97M","-2.80%"
"Jul 16, 2021","36.12","36.81","36.81","36.04","56.16M","-1.37%"
"Jul 15, 2021","36.62","36.17","36.85","36.16","53.98M","0.33%"
"Jul 14, 2021","36.50","36.67","36.92","36.10","69.63M","-0.46%"
"Jul 13, 2021","36.67","36.92","37.00","36.54","44.48M","-1.08%"
"Jul 12, 2021","37.07","36.50","37.13","36.33","62.95M","0.98%"
"Jul 09, 2021","36.71","36.20","36.76","36.09","70.55M","2.89%"
"Jul 08, 2021","35.68","35.76","36.04","35.51","75.08M","-2.00%"
"Jul 07, 2021","36.41","36.15","36.49","36.06","43.75M","0.14%"
"Jul 06, 2021","36.36","36.94","36.94","36.13","49.23M","-1.57%"
"Jul 05, 2021","36.94","36.94","36.94","36.94","-","0.00%"
"Jul 04, 2021","36.94","36.94","36.94","36.94","-","0.00%"
"Jul 03, 2021","36.94","36.94","36.94","36.94","-","0.00%"
"Jul 02, 2021","36.94","36.98","37.02","36.79","27.02M","-0.11%"
"Jul 01, 2021","36.98","36.88","36.99","36.69","36.62M","0.79%"
"Jun 30, 2021","36.69","36.43","36.77","36.42","42.41M","0.44%"
"Jun 29, 2021","36.53","36.85","37.04","36.43","61.05M","-0.35%"
"Jun 28, 2021","36.66","36.87","36.87","36.45","70.25M","-0.73%"
"Jun 25, 2021","36.93","36.68","37.03","36.47","56.85M","1.21%"
"Jun 24, 2021","36.49","36.23","36.58","36.09","42.94M","1.25%"
"Jun 23, 2021","36.04","36.02","36.21","35.96","48.09M","0.19%"
"Jun 22, 2021","35.97","35.94","36.10","35.63","42.58M","0.17%"
"Jun 21, 2021","35.91","35.44","35.93","35.38","89.83M","1.93%"
"Jun 18, 2021","35.23","35.55","35.72","35.19","180.96M","-2.41%"
"Jun 17, 2021","36.10","37.39","37.41","35.99","97.66M","-2.96%"
"Jun 16, 2021","37.20","37.12","37.45","36.74","84.96M","-0.11%"
"Jun 15, 2021","37.24","37.18","37.43","37.00","51.32M","0.19%"
"Jun 14, 2021","37.17","37.49","37.55","36.95","50.61M","-1.04%"
"Jun 11, 2021","37.56","37.39","37.58","37.38","40.42M","0.64%"
"Jun 10, 2021","37.32","38.08","38.18","37.29","53.78M","-1.17%"
"Jun 09, 2021","37.76","37.97","38.02","37.66","40.78M","-0.94%"
"Jun 08, 2021","38.12","38.01","38.24","37.73","47.75M","-0.26%"
"Jun 07, 2021","38.22","38.53","38.53","38.15","37.40M","-0.65%"
"Jun 04, 2021","38.47","38.42","38.50","38.13","27.25M","0.26%"
"Jun 03, 2021","38.37","38.16","38.60","38.04","54.88M","0.24%"
"Jun 02, 2021","38.28","38.34","38.38","38.07","37.54M","0.16%"
"Jun 01, 2021","38.22","38.37","38.48","38.12","35.71M","0.61%"
"May 28, 2021","37.99","38.09","38.09","37.71","39.27M","0.18%"
"May 27, 2021","37.92","37.83","38.02","37.61","39.79M","1.15%"
"May 26, 2021","37.49","37.52","37.66","37.22","38.60M","0.29%"
"May 25, 2021","37.38","37.81","38.10","37.33","38.76M","-1.01%"
"May 24, 2021","37.76","37.74","37.85","37.55","29.16M","0.48%"
"May 21, 2021","37.58","37.36","37.78","37.34","44.95M","0.99%"
"May 20, 2021","37.21","37.25","37.47","36.95","59.22M","0.05%"
"May 19, 2021","37.19","36.99","37.21","36.59","63.57M","-0.61%"
"May 18, 2021","37.42","37.92","38.05","37.40","40.30M","-1.40%"
"May 17, 2021","37.95","37.76","37.99","37.61","40.38M","0.18%"
"May 14, 2021","37.88","37.50","37.98","37.46","44.85M","1.58%"
"May 13, 2021","37.29","36.56","37.52","36.54","66.88M","1.61%"
"May 12, 2021","36.70","37.37","37.51","36.55","97.91M","-1.02%"
"May 11, 2021","37.08","37.37","37.71","36.94","82.72M","-1.77%"
"May 10, 2021","37.75","37.98","38.26","37.72","56.34M","-0.08%"
"May 07, 2021","37.78","37.15","37.79","37.06","64.62M","0.53%"
"May 06, 2021","37.58","37.18","37.59","36.96","43.33M","1.49%"
"May 05, 2021","37.03","36.84","37.17","36.60","38.95M","0.82%"
"May 04, 2021","36.73","36.28","36.73","36.04","66.94M","0.80%"
"May 03, 2021","36.44","36.57","36.64","36.30","33.32M","0.50%"
"Apr 30, 2021","36.26","36.38","36.51","36.20","43.94M","-0.87%"
"Apr 29, 2021","36.58","36.22","36.61","36.19","48.57M","1.78%"
"Apr 28, 2021","35.94","35.94","36.04","35.83","35.77M","0.39%"
"Apr 27, 2021","35.80","35.57","35.85","35.49","50.85M","0.79%"
"Apr 26, 2021","35.52","35.51","35.85","35.48","43.75M","0.40%"
"Apr 23, 2021","35.38","34.73","35.53","34.67","50.47M","1.87%"
"Apr 22, 2021","34.73","35.08","35.13","34.67","43.61M","-1.11%"
"Apr 21, 2021","35.12","34.52","35.15","34.41","39.68M","1.39%"
"Apr 20, 2021","34.64","35.09","35.11","34.52","50.23M","-1.87%"
"Apr 19, 2021","35.30","35.39","35.49","35.18","31.17M","-0.28%"
"Apr 16, 2021","35.40","35.46","35.52","35.24","39.12M","0.71%"
"Apr 15, 2021","35.15","35.26","35.30","34.82","55.48M","-0.09%"
"Apr 14, 2021","35.18","34.88","35.43","34.83","44.07M","0.60%"
"Apr 13, 2021","34.97","35.10","35.14","34.78","39.95M","-0.93%"
"Apr 12, 2021","35.30","35.22","35.31","35.14","44.44M","0.43%"
"Apr 09, 2021","35.15","35.09","35.17","34.89","40.13M","0.86%"
"Apr 08, 2021","34.85","34.71","34.89","34.47","39.93M","0.03%"
"Apr 07, 2021","34.84","34.77","34.92","34.60","38.66M","0.49%"
"Apr 06, 2021","34.67","34.66","34.83","34.55","41.34M","-0.20%"
"Apr 05, 2021","34.74","34.84","34.91","34.63","51.79M","0.78%"
"Apr 01, 2021","34.47","34.00","34.47","34.00","51.69M","1.23%"
"Mar 31, 2021","34.05","34.24","34.38","34.03","51.14M","-0.76%"
"Mar 30, 2021","34.31","34.25","34.47","34.21","55.01M","0.70%"
"Mar 29, 2021","34.07","33.89","34.29","33.72","71.78M","-0.87%"
"Mar 26, 2021","34.37","34.19","34.43","33.95","53.78M","1.57%"
"Mar 25, 2021","33.84","33.26","33.89","33.00","60.53M","1.68%"
"Mar 24, 2021","33.28","33.40","33.80","33.28","63.36M","0.36%"
"Mar 23, 2021","33.16","33.43","33.66","33.04","70.44M","-1.40%"
"Mar 22, 2021","33.63","33.82","33.89","33.51","68.17M","-1.72%"
"Mar 19, 2021","34.22","34.35","34.38","33.86","98.51M","-1.16%"
"Mar 18, 2021","34.62","34.79","35.29","34.50","96.69M","0.52%"
"Mar 17, 2021","34.44","34.46","34.64","34.08","64.05M","0.67%"
"Mar 16, 2021","34.21","34.39","34.43","33.94","67.41M","-1.04%"
"Mar 15, 2021","34.57","34.90","34.91","34.25","57.86M","-0.58%"
"Mar 12, 2021","34.77","34.82","34.95","34.66","68.13M","1.02%"
"Mar 11, 2021","34.42","34.34","34.69","34.14","50.90M","-0.29%"
"Mar 10, 2021","34.52","33.99","34.65","33.93","73.27M","2.04%"
"Mar 09, 2021","33.83","33.87","34.33","33.52","117.22M","-0.91%"
"Mar 08, 2021","34.14","33.96","34.58","33.82","90.54M","1.28%"
"Mar 05, 2021","33.71","33.64","33.80","32.78","109.30M","1.90%"
"Mar 04, 2021","33.08","33.37","33.69","32.60","101.31M","-1.14%"
"Mar 03, 2021","33.46","33.33","33.95","33.29","72.54M","0.78%"
"Mar 02, 2021","33.20","33.28","33.47","33.17","49.99M","-0.36%"
"Mar 01, 2021","33.32","32.86","33.52","32.86","67.59M","3.13%"
