"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2021","158.93","159.02","159.50","158.31","5.17M","0.33%"
"Oct 22, 2021","158.41","158.90","159.56","157.75","6.25M","-0.35%"
"Oct 21, 2021","158.96","157.82","159.04","157.55","5.01M","0.39%"
"Oct 20, 2021","158.35","158.96","159.17","157.69","6.01M","-0.28%"
"Oct 19, 2021","158.79","157.67","158.79","157.36","6.60M","0.99%"
"Oct 18, 2021","157.23","155.11","157.30","154.62","5.82M","0.85%"
"Oct 15, 2021","155.91","155.21","155.94","154.74","6.39M","0.80%"
"Oct 14, 2021","154.67","152.86","154.73","152.58","7.60M","2.25%"
"Oct 13, 2021","151.26","150.99","151.59","150.01","9.76M","0.61%"
"Oct 12, 2021","150.34","151.52","151.88","150.09","8.93M","-0.52%"
"Oct 11, 2021","151.12","151.28","153.14","151.04","7.49M","-0.55%"
"Oct 08, 2021","151.96","153.12","153.23","151.71","9.21M","-0.37%"
"Oct 07, 2021","152.53","152.50","153.71","152.33","9.95M","0.91%"
"Oct 06, 2021","151.15","148.48","151.26","147.96","20.00M","0.65%"
"Oct 05, 2021","150.17","148.36","151.02","148.22","16.48M","1.43%"
"Oct 04, 2021","148.06","150.69","150.87","146.89","25.39M","-2.32%"
"Oct 01, 2021","151.57","149.86","151.90","148.34","22.74M","1.51%"
"Sep 30, 2021","149.32","151.28","151.93","149.24","16.71M","-0.72%"
"Sep 29, 2021","150.40","151.17","152.00","150.14","12.51M","-0.13%"
"Sep 28, 2021","150.59","153.00","153.51","150.47","19.10M","-2.96%"
"Sep 27, 2021","155.19","155.41","155.74","154.22","7.51M","-0.97%"
"Sep 24, 2021","156.71","155.65","156.97","155.58","5.83M","0.07%"
"Sep 23, 2021","156.60","155.30","156.97","154.86","9.77M","1.34%"
"Sep 22, 2021","154.53","153.28","155.13","152.60","14.00M","1.37%"
"Sep 21, 2021","152.44","153.40","153.67","151.85","9.23M","0.04%"
"Sep 20, 2021","152.38","152.71","153.70","150.36","17.83M","-1.99%"
"Sep 17, 2021","155.48","157.53","157.54","155.25","11.33M","-1.56%"
"Sep 16, 2021","157.94","157.36","158.09","156.34","8.07M","0.06%"
"Sep 15, 2021","157.85","157.08","157.96","156.15","8.17M","0.88%"
"Sep 14, 2021","156.48","157.48","157.65","156.07","9.22M","-0.13%"
"Sep 13, 2021","156.68","157.82","158.20","155.65","11.32M","0.03%"
"Sep 10, 2021","156.63","159.07","159.46","156.47","8.54M","-0.99%"
"Sep 09, 2021","158.19","158.93","159.44","158.07","5.58M","-0.38%"
"Sep 08, 2021","158.79","159.34","159.42","157.68","5.73M","-0.38%"
"Sep 07, 2021","159.40","159.63","159.74","158.65","9.86M","0.03%"
"Sep 03, 2021","159.36","158.54","159.78","158.49","10.60M","0.40%"
"Sep 02, 2021","158.73","159.52","159.68","158.10","10.89M","-0.11%"
"Sep 01, 2021","158.90","159.41","160.09","158.77","10.15M","0.03%"
"Aug 31, 2021","158.86","159.84","159.84","158.56","10.99M","-0.53%"
"Aug 30, 2021","159.70","158.51","159.87","158.51","5.01M","1.08%"
"Aug 27, 2021","158.00","156.63","158.11","156.36","7.04M","0.96%"
"Aug 26, 2021","156.49","157.34","157.59","156.36","6.03M","-0.63%"
"Aug 25, 2021","157.48","157.93","158.36","157.23","4.72M","-0.06%"
"Aug 24, 2021","157.57","157.87","158.11","157.45","4.77M","-0.11%"
"Aug 23, 2021","157.75","156.17","157.97","156.17","5.40M","1.29%"
"Aug 20, 2021","155.74","154.34","155.88","153.97","7.38M","1.29%"
"Aug 19, 2021","153.76","151.34","154.32","151.33","9.65M","0.98%"
"Aug 18, 2021","152.27","153.97","154.72","152.10","6.74M","-1.38%"
"Aug 17, 2021","154.40","154.70","154.99","153.45","9.53M","-0.83%"
"Aug 16, 2021","155.69","154.67","155.70","153.31","4.75M","0.45%"
"Aug 13, 2021","154.99","154.25","155.03","154.08","2.82M","0.54%"
"Aug 12, 2021","154.15","153.10","154.24","152.48","3.47M","0.57%"
"Aug 11, 2021","153.27","153.79","154.04","152.49","5.42M","0.01%"
"Aug 10, 2021","153.25","154.65","154.78","152.81","5.21M","-0.72%"
"Aug 09, 2021","154.36","155.03","155.32","154.22","3.60M","-0.32%"
"Aug 08, 2021","154.86","154.86","154.86","154.86","-","0.00%"
"Aug 07, 2021","154.86","154.86","154.86","154.86","-","0.00%"
"Aug 06, 2021","154.86","154.52","155.04","154.41","3.80M","-0.08%"
"Aug 05, 2021","154.99","154.46","155.03","154.00","3.34M","0.55%"
"Aug 04, 2021","154.14","153.81","154.51","153.22","5.66M","0.20%"
"Aug 03, 2021","153.83","153.16","153.90","151.89","5.41M","0.64%"
"Aug 02, 2021","152.85","154.03","154.29","152.68","6.10M","-0.36%"
"Jul 30, 2021","153.40","152.52","153.56","152.48","5.07M","-0.07%"
"Jul 29, 2021","153.50","152.62","154.01","152.62","6.02M","0.46%"
"Jul 28, 2021","152.79","152.95","153.59","151.36","6.97M","-0.12%"
