"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2021","98.78","98.62","98.86","98.14","11.19M","0.34%"
"Mar 31, 2021","98.45","99.00","99.26","98.12","12.29M","-0.32%"
"Mar 30, 2021","98.77","98.34","99.01","98.15","10.18M","0.44%"
"Mar 29, 2021","98.34","98.21","98.92","97.84","12.71M","0.02%"
"Mar 26, 2021","98.32","97.19","98.38","96.81","14.40M","1.73%"
"Mar 25, 2021","96.65","94.88","96.80","93.95","18.52M","1.60%"
"Mar 24, 2021","95.13","94.93","96.62","94.89","14.58M","0.73%"
"Mar 23, 2021","94.44","95.47","96.34","94.09","16.95M","-1.75%"
"Mar 22, 2021","96.12","96.36","96.53","95.45","12.32M","-0.36%"
"Mar 19, 2021","96.47","97.27","97.31","95.93","18.43M","-0.76%"
"Mar 18, 2021","97.21","97.20","98.52","97.02","16.89M","-0.09%"
"Mar 17, 2021","97.30","96.38","97.50","96.13","14.84M","1.15%"
"Mar 16, 2021","96.19","97.37","97.43","96.08","12.54M","-1.42%"
"Mar 15, 2021","97.58","97.16","97.61","96.19","11.39M","0.84%"
"Mar 12, 2021","96.77","95.84","96.84","95.75","10.11M","1.34%"
"Mar 11, 2021","95.49","95.70","96.31","94.92","12.21M","0.07%"
"Mar 10, 2021","95.42","94.29","95.91","94.16","17.28M","1.48%"
"Mar 09, 2021","94.03","94.90","95.39","94.02","12.49M","-0.41%"
"Mar 08, 2021","94.42","94.07","95.89","93.81","16.78M","1.05%"
"Mar 05, 2021","93.44","92.15","93.75","90.27","22.82M","2.37%"
"Mar 04, 2021","91.28","92.89","93.23","89.85","27.73M","-1.60%"
"Mar 03, 2021","92.76","92.74","93.85","92.53","17.50M","0.11%"
"Mar 02, 2021","92.66","92.98","93.12","92.26","11.53M","-0.29%"
"Mar 01, 2021","92.93","91.93","93.62","91.80","11.49M","2.56%"
"Feb 26, 2021","90.61","91.78","92.05","90.36","18.16M","-1.04%"
"Feb 25, 2021","91.56","93.27","93.38","91.18","19.95M","-1.84%"
"Feb 24, 2021","93.28","91.77","93.66","91.36","16.80M","1.89%"
"Feb 23, 2021","91.55","91.44","91.78","90.19","16.57M","0.31%"
"Feb 22, 2021","91.27","90.52","91.94","90.44","10.55M","0.32%"
"Feb 19, 2021","90.98","90.15","91.25","90.08","8.74M","1.64%"
"Feb 18, 2021","89.51","89.50","89.72","88.83","6.41M","-0.50%"
"Feb 17, 2021","89.96","89.82","90.03","89.25","7.27M","-0.28%"
"Feb 16, 2021","90.21","90.51","90.88","90.01","8.23M","-0.10%"
"Feb 12, 2021","90.30","89.45","90.37","89.35","7.98M","0.73%"
"Feb 11, 2021","89.65","90.07","90.20","88.74","8.87M","-0.21%"
"Feb 10, 2021","89.84","90.38","90.41","89.43","10.98M","-0.16%"
"Feb 09, 2021","89.98","89.67","90.28","89.06","8.30M","0.26%"
"Feb 08, 2021","89.75","89.35","89.79","89.15","8.85M","0.85%"
"Feb 05, 2021","88.99","89.16","89.42","88.76","7.48M","0.59%"
"Feb 04, 2021","88.47","87.83","88.62","87.70","7.11M","1.07%"
"Feb 03, 2021","87.53","87.37","87.69","86.79","9.66M","0.07%"
"Feb 02, 2021","87.47","86.66","87.86","86.57","10.44M","2.12%"
"Feb 01, 2021","85.65","85.61","85.89","84.94","11.32M","1.04%"
"Jan 29, 2021","84.77","86.08","86.51","84.51","20.90M","-2.16%"
"Jan 28, 2021","86.64","86.20","87.67","86.11","17.93M","1.49%"
"Jan 27, 2021","85.37","85.93","86.15","84.72","23.14M","-1.99%"
"Jan 26, 2021","87.10","88.67","88.81","87.05","10.48M","-0.92%"
"Jan 25, 2021","87.91","88.10","88.35","87.04","18.25M","-0.68%"
"Jan 22, 2021","88.51","88.39","88.88","87.77","9.73M","-0.52%"
"Jan 21, 2021","88.97","89.47","89.68","88.83","9.60M","-0.78%"
"Jan 20, 2021","89.67","89.59","89.88","89.08","8.37M","0.62%"
"Jan 19, 2021","89.12","89.59","89.89","89.09","8.93M","0.33%"
"Jan 15, 2021","88.83","89.40","89.61","88.08","12.92M","-1.30%"
"Jan 14, 2021","90.00","90.15","90.65","89.84","10.67M","0.35%"
"Jan 13, 2021","89.69","90.32","90.45","89.55","9.23M","-0.86%"
"Jan 12, 2021","90.47","89.56","90.69","89.05","10.41M","0.99%"
"Jan 11, 2021","89.58","88.67","89.84","88.60","11.91M","-0.03%"
"Jan 08, 2021","89.61","90.03","90.28","88.71","11.04M","-0.24%"
"Jan 07, 2021","89.83","89.84","90.18","89.10","10.12M","0.55%"
"Jan 06, 2021","89.34","87.82","90.06","87.55","19.50M","2.38%"
"Jan 05, 2021","87.26","86.25","87.59","86.23","16.00M","0.98%"
"Jan 04, 2021","86.41","88.66","88.74","85.92","16.20M","-2.42%"
