"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07, 2021","85.67","85.48","85.83","85.29","4.12M","0.23%"
"Sep 03, 2021","85.47","85.34","85.61","85.11","2.80M","0.00%"
"Sep 02, 2021","85.47","86.13","86.23","85.32","3.23M","-0.67%"
"Sep 01, 2021","86.05","85.76","86.36","85.75","3.72M","0.50%"
"Aug 31, 2021","85.62","85.30","85.81","85.17","6.09M","0.38%"
"Aug 30, 2021","85.30","84.70","85.48","84.43","2.73M","0.68%"
"Aug 27, 2021","84.72","83.59","84.86","83.43","3.44M","1.58%"
"Aug 26, 2021","83.40","84.09","84.20","83.40","3.28M","-0.87%"
"Aug 25, 2021","84.13","84.00","84.32","83.86","3.84M","0.15%"
"Aug 24, 2021","84.00","83.92","84.32","83.73","3.13M","0.32%"
"Aug 23, 2021","83.73","82.92","84.08","82.89","3.06M","1.21%"
"Aug 20, 2021","82.73","82.00","82.86","81.83","4.14M","0.87%"
"Aug 19, 2021","82.02","81.52","82.39","81.46","4.41M","0.01%"
"Aug 18, 2021","82.01","82.45","82.92","81.95","3.04M","-0.76%"
"Aug 17, 2021","82.64","82.79","83.13","82.10","5.94M","-0.83%"
"Aug 16, 2021","83.33","82.90","83.35","82.25","3.48M","0.17%"
"Aug 13, 2021","83.19","83.35","83.45","83.12","2.14M","0.06%"
"Aug 12, 2021","83.14","82.90","83.18","82.47","2.27M","0.18%"
"Aug 11, 2021","82.99","82.99","83.08","82.68","2.46M","0.19%"
"Aug 10, 2021","82.83","82.71","82.92","82.48","6.25M","0.19%"
"Aug 09, 2021","82.67","82.80","82.82","82.41","2.37M","-0.18%"
"Aug 08, 2021","82.82","82.82","82.82","82.82","-","0.00%"
"Aug 07, 2021","82.82","82.82","82.82","82.82","-","0.00%"
"Aug 06, 2021","82.82","82.71","83.03","82.61","2.76M","0.00%"
"Aug 05, 2021","82.82","82.35","82.83","82.12","2.26M","0.91%"
"Aug 04, 2021","82.07","81.95","82.26","81.60","3.86M","0.28%"
"Aug 03, 2021","81.84","82.21","82.24","80.92","4.86M","-0.45%"
"Aug 02, 2021","82.21","82.81","82.81","82.07","3.99M","-0.23%"
"Jul 30, 2021","82.40","82.14","82.93","82.05","3.00M","-0.34%"
"Jul 29, 2021","82.68","83.02","83.30","82.64","5.29M","-1.08%"
"Jul 28, 2021","83.58","83.81","84.15","83.23","7.30M","0.78%"
"Jul 27, 2021","82.93","83.82","83.91","82.32","4.86M","-1.19%"
"Jul 26, 2021","83.93","83.37","83.95","83.27","3.19M","0.51%"
"Jul 23, 2021","83.50","82.43","83.73","82.07","3.87M","2.48%"
"Jul 22, 2021","81.48","81.27","81.49","80.82","2.25M","0.34%"
"Jul 21, 2021","81.20","80.58","81.20","80.58","2.61M","0.83%"
"Jul 20, 2021","80.53","79.89","80.82","79.48","4.11M","1.13%"
"Jul 19, 2021","79.63","80.13","80.21","79.26","6.90M","-1.52%"
"Jul 16, 2021","80.86","81.49","81.72","80.76","3.51M","-0.63%"
"Jul 15, 2021","81.37","82.05","82.05","81.03","4.50M","-0.71%"
"Jul 14, 2021","81.95","82.46","82.54","81.87","3.46M","-0.07%"
"Jul 13, 2021","82.01","82.17","82.64","81.93","3.98M","-0.26%"
"Jul 12, 2021","82.22","81.75","82.25","81.50","3.57M","0.71%"
"Jul 09, 2021","81.64","80.95","81.76","80.94","2.91M","0.89%"
"Jul 08, 2021","80.92","80.75","81.28","80.52","5.24M","-1.10%"
"Jul 07, 2021","81.82","82.27","82.27","81.64","3.65M","-0.15%"
"Jul 06, 2021","81.94","82.30","82.37","81.19","3.83M","-0.24%"
"Jul 05, 2021","82.14","82.14","82.14","82.14","-","0.00%"
"Jul 04, 2021","82.14","82.14","82.14","82.14","-","0.00%"
"Jul 03, 2021","82.14","82.14","82.14","82.14","-","0.00%"
"Jul 02, 2021","82.14","81.89","82.22","81.74","4.35M","0.70%"
"Jul 01, 2021","81.57","80.87","81.67","80.85","5.23M","0.74%"
"Jun 30, 2021","80.97","81.14","81.19","80.68","2.53M","-0.18%"
"Jun 29, 2021","81.12","81.57","81.63","80.90","4.27M","-0.54%"
"Jun 28, 2021","81.56","80.83","81.66","80.59","3.55M","1.13%"
"Jun 25, 2021","80.65","80.53","80.74","80.38","5.84M","0.12%"
"Jun 24, 2021","80.55","80.16","80.58","80.16","3.43M","0.94%"
"Jun 23, 2021","79.80","79.81","80.22","79.74","4.67M","-0.10%"
